CONFIG_END	pc	cacr	tc
CONFIG_END	4081C940	80008000	0000C000
ENABLED_CYCLES	ic	dc	mmu
ENABLED_CYCLES	544636928	544636928	544636928
SUMMARY	cycles	dispatches	clocks_per_dispatch	rd_accept_samples	look_hit_cycles	ipred_hit_cycles
SUMMARY	544636928	82759773	6.580938	54343339	73931572	3357816
STATE	id	cycles	entries	percent
TRANSITION	5	53	6
TRANSITION	5	56	74
TRANSITION	5	181	131
TRANSITION	5	190	28
TRANSITION	8	13	2646541
TRANSITION	8	15	819952
TRANSITION	8	16	660996
TRANSITION	8	18	5518
TRANSITION	8	19	2671830
TRANSITION	8	20	665601
TRANSITION	8	48	11842
TRANSITION	8	51	173282
TRANSITION	8	53	43764
TRANSITION	8	62	55390
TRANSITION	8	68	164133
TRANSITION	8	81	63804
TRANSITION	8	89	23751
TRANSITION	8	98	2909
TRANSITION	8	104	1385
TRANSITION	8	112	21620
TRANSITION	8	153	23
TRANSITION	8	157	8
TRANSITION	8	177	40
TRANSITION	9	3	2203397
TRANSITION	9	4	7837461
TRANSITION	9	8	6967
TRANSITION	9	10	3081365
TRANSITION	9	11	51941
TRANSITION	9	13	154992
TRANSITION	9	15	8850
TRANSITION	9	17	587797
TRANSITION	9	20	4552610
TRANSITION	9	23	640937
TRANSITION	9	27	1403948
TRANSITION	9	28	3484
TRANSITION	9	42	137532
TRANSITION	9	44	15717
TRANSITION	9	45	15717
TRANSITION	9	46	15717
TRANSITION	9	49	105
TRANSITION	9	51	306701
TRANSITION	9	53	57556
TRANSITION	9	55	16333
TRANSITION	9	56	55055
TRANSITION	9	62	1168
TRANSITION	9	65	54155
TRANSITION	9	70	416202
TRANSITION	9	93	10021324
TRANSITION	9	118	238606
TRANSITION	9	119	3632
TRANSITION	9	153	110
TRANSITION	9	160	120
TRANSITION	9	162	129
TRANSITION	9	165	130
TRANSITION	9	171	6
TRANSITION	9	175	176
TRANSITION	9	181	1527
TRANSITION	9	190	2836781
TRANSITION	9	250	81965
TRANSITION	10	3	748114
TRANSITION	10	4	1769486
TRANSITION	10	9	2406295
TRANSITION	10	13	67654
TRANSITION	10	20	2056822
TRANSITION	10	36	137532
TRANSITION	10	37	137532
TRANSITION	10	38	12
TRANSITION	10	39	137532
TRANSITION	10	51	98196
TRANSITION	10	52	372141
TRANSITION	10	53	2884347
TRANSITION	10	55	11293
TRANSITION	10	56	48916
TRANSITION	10	57	92112
TRANSITION	10	62	953
TRANSITION	10	65	14731
TRANSITION	10	70	2396644
TRANSITION	10	95	10021324
TRANSITION	10	122	42
TRANSITION	10	153	158
TRANSITION	10	161	381
TRANSITION	10	162	85
TRANSITION	10	165	252
TRANSITION	10	176	25
TRANSITION	10	181	1706
TRANSITION	10	183	156
TRANSITION	10	190	2427943
TRANSITION	10	250	244611
TRANSITION	11	8	1261275
TRANSITION	11	26	158160
TRANSITION	11	55	587508
TRANSITION	11	56	67539
TRANSITION	11	58	113
TRANSITION	11	59	8539
TRANSITION	11	102	157278
TRANSITION	11	117	216955
TRANSITION	11	151	30
TRANSITION	11	152	6
TRANSITION	11	155	2
TRANSITION	13	3	39653
TRANSITION	13	4	90391
TRANSITION	13	9	1704843
TRANSITION	13	10	178488
TRANSITION	13	20	255764
TRANSITION	13	22	172376
TRANSITION	13	26	373268
TRANSITION	13	51	1678
TRANSITION	13	53	634
TRANSITION	13	55	2436
TRANSITION	13	56	148414
TRANSITION	13	62	5
TRANSITION	13	102	59818
TRANSITION	13	117	21691
TRANSITION	13	155	82
TRANSITION	13	181	18
TRANSITION	13	190	246
TRANSITION	15	8	660996
TRANSITION	15	9	202365
TRANSITION	15	16	26152
TRANSITION	15	22	1
TRANSITION	15	26	86880
TRANSITION	15	55	19552
TRANSITION	15	56	1018
TRANSITION	15	58	108372
TRANSITION	16	9	587797
TRANSITION	16	22	97215
TRANSITION	16	55	1320
TRANSITION	16	58	816
TRANSITION	17	8	5518
TRANSITION	17	22	95365
TRANSITION	17	26	621
TRANSITION	17	55	3726
TRANSITION	17	56	403005
TRANSITION	17	58	79518
TRANSITION	17	155	44
TRANSITION	18	22	3824
TRANSITION	18	26	398
TRANSITION	18	58	1296
TRANSITION	19	22	1879629
TRANSITION	19	26	563812
TRANSITION	19	55	127810
TRANSITION	19	56	6798
TRANSITION	19	58	91358
TRANSITION	19	59	2059
TRANSITION	19	102	364
TRANSITION	20	8	4824548
TRANSITION	20	9	13661017
TRANSITION	20	10	5591049
TRANSITION	20	11	99112
TRANSITION	20	15	276534
TRANSITION	20	21	528260
TRANSITION	20	24	1006
TRANSITION	20	28	1365689
TRANSITION	20	190	1506441
TRANSITION	21	24	528260
TRANSITION	22	9	2248410
TRANSITION	23	3	4
TRANSITION	23	20	4
TRANSITION	23	24	640939
TRANSITION	23	53	14
TRANSITION	23	190	112
TRANSITION	24	11	70805
TRANSITION	24	28	1099400
TRANSITION	26	9	499976
TRANSITION	26	10	279578
TRANSITION	26	28	403585
TRANSITION	27	28	1403948
TRANSITION	28	3	32411
TRANSITION	28	4	1668954
TRANSITION	28	5	43846
TRANSITION	28	10	2382238
TRANSITION	28	13	646
TRANSITION	28	20	20430
TRANSITION	28	29	98644
TRANSITION	28	30	24381
TRANSITION	28	51	119333
TRANSITION	28	53	4552
TRANSITION	28	55	2
TRANSITION	28	65	170
TRANSITION	28	103	3976
TRANSITION	28	181	313
TRANSITION	28	190	10932
TRANSITION	29	99	98644
TRANSITION	30	3	220
TRANSITION	30	4	10007
TRANSITION	30	20	17191
TRANSITION	30	31	574
TRANSITION	30	65	6
TRANSITION	30	181	2
TRANSITION	30	190	357
TRANSITION	31	4	22
TRANSITION	31	20	552
TRANSITION	34	35	137520
TRANSITION	35	10	137532
TRANSITION	36	10	137532
TRANSITION	37	10	137532
TRANSITION	38	10	12
TRANSITION	39	41	137532
TRANSITION	41	9	137532
TRANSITION	42	34	38
TRANSITION	42	178	137494
TRANSITION	43	9	15717
TRANSITION	44	9	15717
TRANSITION	45	9	15717
TRANSITION	46	47	15717
TRANSITION	47	3	7724
TRANSITION	47	181	7993
TRANSITION	48	9	97359
TRANSITION	49	181	105
TRANSITION	51	3	355099
TRANSITION	51	4	99016
TRANSITION	51	10	215688
TRANSITION	51	13	2654
TRANSITION	51	20	240238
TRANSITION	51	56	1433
TRANSITION	51	62	8
TRANSITION	51	181	26
TRANSITION	51	190	983
TRANSITION	52	3	372105
TRANSITION	52	181	36
TRANSITION	53	3	332697
TRANSITION	53	4	3225711
TRANSITION	53	13	18
TRANSITION	53	20	790326
TRANSITION	53	51	6401
TRANSITION	53	56	1
TRANSITION	53	65	583
TRANSITION	53	181	84
TRANSITION	53	190	358708
TRANSITION	55	3	745454
TRANSITION	55	4	27570
TRANSITION	55	181	39
TRANSITION	56	10	797476
TRANSITION	57	3	92065
TRANSITION	57	181	47
TRANSITION	58	3	4881
TRANSITION	58	4	100104
TRANSITION	58	13	1027
TRANSITION	58	20	175399
TRANSITION	58	56	33
TRANSITION	58	181	29
TRANSITION	59	10	10598
TRANSITION	62	10	178769
TRANSITION	65	9	178770
TRANSITION	68	11	217460
TRANSITION	68	69	595269
TRANSITION	69	70	595269
TRANSITION	70	3	80573
TRANSITION	70	4	453539
TRANSITION	70	9	416202
TRANSITION	70	10	2396644
TRANSITION	70	13	18927
TRANSITION	70	20	208608
TRANSITION	70	51	1701
TRANSITION	70	53	107
TRANSITION	70	55	1059
TRANSITION	70	56	2360
TRANSITION	70	65	44379
TRANSITION	70	153	74
TRANSITION	70	181	272
TRANSITION	70	190	1130
TRANSITION	78	79	120099
TRANSITION	79	3	686
TRANSITION	79	4	61639
TRANSITION	79	20	57749
TRANSITION	79	56	23
TRANSITION	79	181	2
TRANSITION	81	5	3032
TRANSITION	81	82	183892
TRANSITION	82	5	183892
TRANSITION	87	107	1540
TRANSITION	89	90	2505331
TRANSITION	90	91	2505331
TRANSITION	91	92	2505331
TRANSITION	92	9	10021324
TRANSITION	93	92	7515993
TRANSITION	93	94	2505331
TRANSITION	94	10	10021324
TRANSITION	95	94	7515993
TRANSITION	95	96	2505331
TRANSITION	96	97	2505331
TRANSITION	97	4	2290817
TRANSITION	97	51	126
TRANSITION	97	53	212279
TRANSITION	97	181	2109
TRANSITION	98	3	112
TRANSITION	98	4	16
TRANSITION	98	5	44069
TRANSITION	98	20	170
TRANSITION	99	3	737
TRANSITION	99	4	48661
TRANSITION	99	20	1723
TRANSITION	99	181	4
TRANSITION	99	190	47519
TRANSITION	102	70	217460
TRANSITION	103	30	3976
TRANSITION	104	20	3976
TRANSITION	106	3	30400
TRANSITION	107	3	1540
TRANSITION	112	113	278212
TRANSITION	113	11	238646
TRANSITION	113	114	39566
TRANSITION	114	115	6384
TRANSITION	114	116	33182
TRANSITION	115	116	6384
TRANSITION	116	130	39566
TRANSITION	117	9	238646
TRANSITION	118	9	3632
TRANSITION	118	120	235014
TRANSITION	119	120	3632
TRANSITION	120	130	238646
TRANSITION	121	10	81890
TRANSITION	122	10	42
TRANSITION	129	4	6239
TRANSITION	129	20	100
TRANSITION	129	153	44
TRANSITION	129	181	1
TRANSITION	130	131	278212
TRANSITION	131	3	1086
TRANSITION	131	4	185029
TRANSITION	131	20	3683
TRANSITION	131	129	6384
TRANSITION	131	132	81890
TRANSITION	131	181	51
TRANSITION	131	190	89
TRANSITION	132	121	81890
TRANSITION	133	3	14031
TRANSITION	133	181	26
TRANSITION	151	10	18
TRANSITION	151	182	12
TRANSITION	152	9	6
TRANSITION	153	8	40
TRANSITION	153	11	128
TRANSITION	153	154	62
TRANSITION	153	157	8
TRANSITION	153	158	76
TRANSITION	153	160	145
TRANSITION	153	164	62
TRANSITION	153	173	319
TRANSITION	154	162	62
TRANSITION	155	158	44
TRANSITION	155	162	46
TRANSITION	155	164	38
TRANSITION	157	8	8
TRANSITION	157	160	8
TRANSITION	158	9	120
TRANSITION	160	4	4
TRANSITION	160	10	145
TRANSITION	160	20	68
TRANSITION	160	153	44
TRANSITION	160	191	12
TRANSITION	161	4	18
TRANSITION	161	10	236
TRANSITION	161	20	115
TRANSITION	161	153	12
TRANSITION	162	4	38
TRANSITION	162	9	129
TRANSITION	162	20	51
TRANSITION	162	65	12
TRANSITION	162	153	7
TRANSITION	162	163	85
TRANSITION	163	3	6
TRANSITION	163	4	101
TRANSITION	163	10	85
TRANSITION	163	20	112
TRANSITION	164	9	130
TRANSITION	164	165	84
TRANSITION	165	4	15
TRANSITION	165	10	252
TRANSITION	165	20	6
TRANSITION	165	153	79
TRANSITION	165	164	114
TRANSITION	167	20	18
TRANSITION	171	4	6
TRANSITION	173	4	78
TRANSITION	173	153	22
TRANSITION	173	163	219
TRANSITION	175	23	136
TRANSITION	175	118	40
TRANSITION	176	5	25
TRANSITION	177	3	12
TRANSITION	177	20	12
