epoch_seconds rchar_bytes wchar_bytes syscr_calls syscw_calls read_bytes write_bytes utime_ticks stime_ticks starttime_ticks mmcblk0_reads_completed read_merges read_sectors read_ticks_ms writes_completed write_merges write_sectors write_ticks_ms in_flight io_ticks_ms
1790332818.618 508722726 20451951 48927680 12346 1133568 57614336 120058 299002 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332819.621 508723530 20451951 48939557 12346 1133568 57614336 120075 299085 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332820.624 508724238 20451951 48951353 12346 1133568 57614336 120095 299165 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332821.627 508725249 20451951 48963216 12346 1133568 57614336 120119 299241 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332822.630 508725903 20451951 48975078 12346 1133568 57614336 120145 299315 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332823.633 508726202 20451951 48986943 12346 1133568 57614336 120171 299389 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332824.636 508726500 20451951 48998828 12346 1133568 57614336 120191 299469 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332825.639 508727393 20451951 49010631 12346 1133568 57614336 120210 299549 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332826.642 508728209 20451951 49022497 12346 1133568 57614336 120232 299628 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332827.645 508728738 20451951 49034366 12346 1133568 57614336 120254 299706 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332828.648 508729228 20451951 49046231 12346 1133568 57614336 120276 299784 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332829.651 508729281 20451951 49058119 12346 1133568 57614336 120297 299862 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332830.654 508730857 20451951 49069927 12346 1133568 57614336 120315 299944 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332831.657 508731976 20451951 49081787 12346 1133568 57614336 120335 300025 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332832.660 508732690 20451951 49093643 12346 1133568 57614336 120358 300101 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332833.663 508732845 20451951 49105517 12346 1133568 57614336 120386 300174 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332834.666 508733359 20451951 49117381 12346 1133568 57614336 120413 300247 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332835.669 508733642 20451951 49129200 12346 1133568 57614336 120434 300326 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332836.673 508734488 20451951 49141104 12346 1133568 57614336 120455 300404 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332837.681 508734957 20451951 49153019 12346 1133568 57614336 120477 300483 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332838.684 508735255 20451951 49164883 12346 1133568 57614336 120501 300559 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332839.687 508735374 20451951 49176758 12346 1133568 57614336 120525 300635 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332840.690 508736512 20451951 49188562 12346 1133568 57614336 120548 300712 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332841.693 508737391 20451951 49200430 12346 1133568 57614336 120571 300789 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332842.696 508738045 20451951 49212299 12346 1133568 57614336 120589 300871 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332843.699 508738118 20451951 49224154 12346 1133568 57614336 120614 300947 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332844.702 508739124 20451951 49236019 12346 1133568 57614336 120640 301020 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332845.705 508740615 20451951 49247804 12346 1133568 57614336 120669 301092 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332846.708 508741329 20451951 49259666 12346 1133568 57614336 120692 301168 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332847.711 508745877 20451951 49271358 12346 1133568 57614336 120712 301248 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332848.714 508747737 20451951 49283154 12346 1133568 57614336 120732 301328 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332849.717 508748942 20451951 49295003 12346 1133568 57614336 120752 301408 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332850.720 508750096 20451951 49306808 12346 1133568 57614336 120776 301483 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332851.723 508751949 20451951 49318663 12346 1133568 57614336 120799 301561 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332852.726 508752663 20451951 49330532 12346 1133568 57614336 120818 301642 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332853.729 508752716 20451951 49342417 12346 1133568 57614336 120833 301727 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332854.732 508753080 20451951 49354300 12346 1133568 57614336 120851 301808 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332855.735 508754459 20451951 49366091 12346 1133568 57614336 120878 301882 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332856.738 508755653 20451951 49377969 12346 1133568 57614336 120905 301955 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332857.741 508756224 20451951 49389848 12346 1133568 57614336 120927 302033 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332858.744 508756462 20451951 49401733 12346 1133568 57614336 120944 302116 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332859.747 508759035 20451951 49413605 12346 1133568 57614336 120958 302201 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332860.750 508763746 20451951 49425391 12346 1133568 57614336 120980 302279 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332861.753 508765706 20451951 49437240 12346 1133568 57614336 121002 302358 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332862.756 508767420 20451951 49449094 12346 1133568 57614336 121024 302436 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332863.759 508767473 20451951 49460982 12346 1133568 57614336 121044 302515 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332864.762 508768347 20451951 49472873 12346 1133568 57614336 121066 302593 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332865.765 508768896 20451951 49484674 12346 1133568 57614336 121087 302672 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332866.768 508770728 20451951 49496542 12346 1133568 57614336 121107 302752 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332867.771 508773200 20451951 49508385 12346 1133568 57614336 121132 302827 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332868.774 508774617 20451951 49520247 12346 1133568 57614336 121156 302904 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332869.778 508774736 20451951 49532136 12346 1133568 57614336 121179 302980 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
